source|text|created_at
Twitter for iPhone|Join me LIVE at 5:45pmE from Harrisburg, Pennsylvania! #TaxReform #USA🇺🇸https://t.co/fDUEMpRTcE https://t.co/1mMjl1HNpl|10-11-2017 21:18:49
Twitter for iPhone|RT @realDonaldTrump: Happy to announce we are awarding $1M to Las Vegas - in order to help local law enforcement working OT to respond to l…|10-11-2017 19:50:03
Twitter for iPhone|Happy to announce we are awarding $1M to Las Vegas - in order to help local law enforcement working OT to respond to last Sunday’s tragedy.|10-11-2017 19:49:21
Twitter for iPhone|With all of the Fake News coming out of NBC and the Networks, at what point is it appropriate to challenge their License? Bad for country!|10-11-2017 13:55:44
Twitter for iPhone|Fake @NBCNews made up a story that I wanted a "tenfold" increase in our U.S. nuclear arsenal. Pure fiction, made up to demean. NBC = CNN!|10-11-2017 13:45:22
Twitter for iPhone|It is about time that Roger Goodell of the NFL is finally demanding that all players STAND for our great National Anthem-RESPECT OUR COUNTRY|10-11-2017 10:47:10
Twitter for iPhone|The Democrats want MASSIVE tax increases &amp; soft, crime producing borders.The Republicans want the biggest tax cut in history &amp; the WALL!|10-11-2017 10:36:37
Twitter for iPhone|It would be really nice if the Fake News Media would report the virtually unprecedented Stock Market growth since the election.Need tax cuts|10-11-2017 10:31:18
Twitter for iPhone|...if Congress gives us the massive tax cuts (and reform) I am asking for, those numbers will grow by leaps and bounds. #MAGA|10-11-2017 10:26:50
Twitter for iPhone|Stock Market has increased by 5.2 Trillion dollars since the election on November 8th, a 25% increase. Lowest unemployment in 16 years and..|10-11-2017 10:21:15
Twitter for iPhone|...fired. This story is totally made up by the dishonest media.The Chief is doing a FANTASTIC job for me and, more importantly, for the USA!|10-11-2017 01:21:43
Twitter for iPhone|The Fake News is at it again, this time trying to hurt one of the finest people I know, General John Kelly, by saying he will soon be.....|10-11-2017 01:15:26
Twitter for iPhone|My great honor to host the 2017 back-to-back #StanleyCup Champion Pittsburgh Penguins at the WH with @FLOTUS today!https://t.co/qyT4bcHVuR https://t.co/rBwGmhMnPX|10-10-2017 23:29:47
Twitter for iPhone|RT @IsraelUSAforevr: @realDonaldTrump  https://t.co/dBvwKDdesD|10-10-2017 13:34:58
Twitter for iPhone|The Failing @nytimes set Liddle' Bob Corker up by recording his conversation. Was made to sound a fool, and that's what I am dealing with!|10-10-2017 12:50:55
Twitter for iPhone|Highly respected author, Christopher Bedford, just came out with book, "The Art of the Donald, Lessons from America's...." Really good book!|10-10-2017 12:13:54
Twitter for iPhone|With Jemele Hill at the mike, it is no wonder ESPN ratings have "tanked," in fact, tanked so badly it is the talk of the industry!|10-10-2017 10:42:23
Twitter for iPhone|Since Congress can't get its act together on HealthCare, I will be using the power of the pen to give great HealthCare to many people - FAST|10-10-2017 10:30:28
Twitter for iPhone|The problem with agreeing to a policy on immigration is that the Democrats don't want secure borders,they don't care about safety for U.S.A.|10-10-2017 10:18:34
